,source_alphabet_size,source_density,source_dimension,source_stationary_state,training_length,ci_words_length,nll_source,nll_learned
311,6,0.5,8,True,[100000],4,-2.5771748121730265,-2.5813405832628886
312,6,0.5,8,True,[100000],4,-2.5771748121730265,-2.5813095970578845
313,6,0.5,8,True,[100000],4,-2.5771748121730265,-2.5812783967135022
314,6,0.5,16,True,[100000],2,-2.5836393301001346,-2.5836243450081
315,6,0.5,16,True,[100000],2,-2.5836393301001346,-2.5834693740677195
316,6,0.5,16,True,[100000],2,-2.5836393301001346,-2.743988462975208
317,6,0.5,16,True,[100000],2,-2.5836393301001346,-2.80319953464868
318,6,0.5,16,True,[100000],2,-2.5836393301001346,-2.9931741238058542
319,6,0.5,16,True,[100000],2,-2.5836393301001346,-3.6998008206165585
320,6,0.5,16,True,[100000],2,-2.5836393301001346,-3.5235969115555954
321,6,0.5,16,True,[100000],2,-2.5836393301001346,-3.97806258719751
322,6,0.5,16,True,[100000],4,-2.5836393301001346,-2.5846445520722194
323,6,0.5,16,True,[100000],4,-2.5836393301001346,-2.5846376201563994
324,6,0.5,16,True,[100000],4,-2.5836393301001346,-2.584607138513547
325,6,0.5,16,True,[100000],4,-2.5836393301001346,-2.5845909096841613
326,6,0.5,16,True,[100000],4,-2.5836393301001346,-2.584565727233772
327,6,0.5,16,True,[100000],4,-2.5836393301001346,-2.5845516990293853
328,6,0.5,16,True,[100000],4,-2.5836393301001346,-2.5845448924469467
329,6,0.5,16,True,[100000],4,-2.5836393301001346,-2.5845351888810657
330,6,1.0,2,True,[100000],2,-2.50147874010543,-2.502847229116335
331,6,1.0,2,True,[100000],4,-2.50147874010543,-2.513023836357458
332,6,1.0,4,True,[100000],2,-2.572691882534927,-2.5725500443874334
333,6,1.0,4,True,[100000],2,-2.572691882534927,-2.572439211022156
334,6,1.0,4,True,[100000],4,-2.572691882534927,-2.576599402509102
335,6,1.0,4,True,[100000],4,-2.572691882534927,-2.576481561207348
336,6,1.0,8,True,[100000],2,-2.5839744022477253,-2.584153042735381
337,6,1.0,8,True,[100000],2,-2.5839744022477253,-3.0618476348410137
338,6,1.0,8,True,[100000],2,-2.5839744022477253,-2.6352858661096894
339,6,1.0,8,True,[100000],2,-2.5839744022477253,-3.7888265823832463
340,6,1.0,8,True,[100000],4,-2.5839744022477253,-2.634530897925228
341,6,1.0,8,True,[100000],4,-2.5839744022477253,-2.7135505030338685
342,6,1.0,8,True,[100000],4,-2.5839744022477253,-2.5924301161345955
